Threshold,TPR,FPR,Slope,Threshold_Label,AUC,difference
422000,1,1,#DIV/0!,NA,0.809,0
424000,1,1,#DIV/0!,NA,0.809,0
426000,1,1,#DIV/0!,NA,0.809,0
428000,1,1,#DIV/0!,NA,0.809,0
430000,1,1,#DIV/0!,NA,0.809,0
432000,1,1,#DIV/0!,NA,0.809,0
434000,1,1,#DIV/0!,NA,0.809,0
436000,1,1,#DIV/0!,NA,0.809,0
438000,1,1,#DIV/0!,NA,0.809,0
440000,1,1,#DIV/0!,NA,0.809,0
442000,1,1,#DIV/0!,NA,0.809,0
444000,1,1,#DIV/0!,NA,0.809,0
446000,1,1,#DIV/0!,NA,0.809,0
448000,1,1,#DIV/0!,NA,0.809,0
450000,1,1,#DIV/0!,NA,0.809,0
452000,1,1,#DIV/0!,NA,0.809,0
454000,1,1,#DIV/0!,NA,0.809,0
456000,1,1,#DIV/0!,NA,0.809,0
458000,1,1,#DIV/0!,NA,0.809,0
460000,1,1,#DIV/0!,NA,0.809,0
462000,1,1,#DIV/0!,NA,0.809,0
464000,1,1,#DIV/0!,NA,0.809,0
466000,1,1,#DIV/0!,NA,0.809,0
468000,1,1,#DIV/0!,NA,0.809,0
470000,1,1,#DIV/0!,NA,0.809,0
472000,1,1,#DIV/0!,NA,0.809,0
474000,1,1,#DIV/0!,NA,0.809,0
476000,1,1,#DIV/0!,NA,0.809,0
478000,1,1,#DIV/0!,NA,0.809,0
480000,1,1,#DIV/0!,NA,0.809,0
482000,1,1,#DIV/0!,NA,0.809,0
484000,1,1,#DIV/0!,NA,0.809,0
486000,1,1,#DIV/0!,NA,0.809,0
488000,1,1,#DIV/0!,NA,0.809,0
490000,1,1,#DIV/0!,NA,0.809,0
492000,1,1,#DIV/0!,NA,0.809,0
494000,1,1,#DIV/0!,NA,0.809,0
496000,1,1,#DIV/0!,NA,0.809,0
498000,1,1,#DIV/0!,NA,0.809,0
500000,1,1,#DIV/0!,NA,0.809,0
502000,1,1,#DIV/0!,NA,0.809,0
504000,1,1,#DIV/0!,NA,0.809,0
506000,1,1,#DIV/0!,NA,0.809,0
508000,1,1,#DIV/0!,NA,0.809,0
510000,1,1,#DIV/0!,NA,0.809,0
512000,1,1,#DIV/0!,NA,0.809,0
514000,1,1,#DIV/0!,NA,0.809,0
516000,1,1,#DIV/0!,NA,0.809,0
